PlantaID;Nome_Planta;Localizacao;Data_Inspecao;Nivel_Radiacao;Temperatura_Reator;Pressao_Reator;Eficiência_Operacional;Falhas_Detectadas;Custo_Manutencao;Status_Operacional;Potencia_Gerada
NUC-00001;Angra 1;MG - Brasil;2023-10-10;;301.81;74.71;51.91;4;285.54;Parcialmente Operando;28.84
NUC-00002;Central Nuclear Santa;BA - Brasil;2024-08-10;4.19;392.2;102.19;60.34;4;322.99;Parcialmente Operando;18.33
NUC-00003;NucleoForte;BA - Brasil;2024-08-18;2.87;2068.22;60.91;81.42;0;449.11;Em Manutenção;8.11
NUC-00004;Angra 1;RJ - Brasil;2024-11-16;3.09;327.58;100.74;94.87;4;194.95;Desativada;0
NUC-00005;Central Nuclear Santa;SP - Brasil;2023-09-01;4.57;393.11;98.92;68.42;4;487.72;Operando;71.97
NUC-00006;Central Nuclear Santa;SP - Brasil;2023-10-14;4.47;285.02;74.12;60.16;2;139.63;Operando;70.71
NUC-00007;Reator Atlântico;BA - Brasil;2024-04-17;1.71;428.62;153.4;80.49;0;450.15;Desativada;0
NUC-00008;Reator Atlântico;BA - Brasil;2025-01-20;1.85;430.42;78.88;90.99;2;428.23;Desativada;0
NUC-00009;NucleoForte;SC - Brasil;2024-08-01;0.22;449.53;95.09;94.58;1;302.87;Operando;93.2
NUC-00010;Reator Atlântico;SP - Brasil;2023-12-17;1.52;416.42;106.22;54.61;3;310.3;Parcialmente Operando;29.61
NUC-00011;NucleoForte;MG - Brasil;2023-10-20;2.74;210.46;95.29;93.96;3;352.42;Em Manutenção;6.08
NUC-00012;Angra 1;BA - Brasil;2023-11-21;4.63;288.22;93.15;67.65;2;114.55;Operando;
NUC-00013;NucleoForte;RJ - Brasil;2024-12-24;;228.6;77.35;52.06;3;478.48;Em Manutenção;16.34
NUC-00014;;MG - Brasil;2023-11-22;4.58;444.13;121.14;56.51;3;439.64;Parcialmente Operando;22.88
NUC-00015;Reator Atlântico;SC - Brasil;2024-05-23;0.83;206.68;86.08;95.05;5;89.06;Em Manutenção;7.31
NUC-00016;Central Nuclear Santa;BA - Brasil;2024-05-11;4.78;;86.3;96.61;3;420.28;Parcialmente Operando;56.31
NUC-00017;Angra 1;SC - Brasil;2023-03-11;3.57;418.76;98.9;83.09;0;336.14;Parcialmente Operando;32.03
NUC-00018;Angra 2;RJ - Brasil;2023-07-20;2.2;434.73;158.0;60.41;0;86.53;Operando;71.96
NUC-00019;Central Nuclear Santa;BA - Brasil;2024-01-26;4.22;333.38;128.22;54.58;0;446.24;Em Manutenção;10.39
NUC-00020;Angra 1;SC - Brasil;2024-05-26;0.49;400.56;133.76;95.21;5;312.84;Em Manutenção;11.48
NUC-00021;Angra 1;SC - Brasil;2023-05-31;3.56;235.93;90.44;90.36;;345.88;Desativada;0
NUC-00022;NucleoForte;BA - Brasil;2023-10-14;3.49;445.07;104.27;51.9;2;188.92;Em Manutenção;19.41
NUC-00023;Central Nuclear Santa;RJ - Brasil;2023-08-21;1.74;398.76;71.87;75.85;4;248.17;Desativada;0
NUC-00024;NucleoForte;BA - Brasil;2024-05-05;4.75;378.66;91.14;64.96;4;202.36;Parcialmente Operando;26.66
NUC-00025;Angra 2;MG - Brasil;2023-06-18;4.55;240.67;82.16;73.8;3;236.99;Parcialmente Operando;31.8
NUC-00026;Reator Atlântico;SP - Brasil;2024-02-14;4.54;304.31;96.91;69.28;0;190.44;Em Manutenção;19.77
NUC-00027;Reator Atlântico;SP - Brasil;2024-11-17;1.64;225.14;48.68;58.74;3;223.21;Operando;70.04
NUC-00028;NucleoForte;SC - Brasil;2023-07-06;0.74;369.87;124.78;57.94;1;123.87;Operando;48.54
NUC-00029;Angra 1;BA - Brasil;2023-06-17;2.57;444.28;80.04;75.24;3;3359.7;Operando;83.08
NUC-00030;NucleoForte;BA - Brasil;2024-12-28;1.94;244.6;66.74;60.35;3;;Em Manutenção;14.74
NUC-00031;Central Nuclear Santa;RJ - Brasil;2024-12-12;3.27;284.19;105.34;51.14;1;403.68;Em Manutenção;9.83
NUC-00032;Central Nuclear Santa;SP - Brasil;2023-04-30;4.82;269.44;99.07;74.07;0;37.13;;9.29
NUC-00033;NucleoForte;SP - Brasil;2024-12-31;2.59;253.38;68.37;75.84;1;316.9;Parcialmente Operando;29.11
NUC-00034;Central Nuclear Santa;RJ - Brasil;2023-10-24;0.86;248.98;100.35;65.16;3;130.52;Parcialmente Operando;23.51
NUC-00035;Angra 2;SP - Brasil;2024-09-03;0.86;353.58;82.6;95.93;4;197.42;Em Manutenção;18.43
NUC-00036;Reator Atlântico;;;0.88;256.36;84.76;84.07;1;381.86;Parcialmente Operando;44.83
NUC-00037;Angra 2;BA - Brasil;2023-08-07;3.71;2169.91;105.56;71.14;3;41.14;Parcialmente Operando;39.43
