idade,escolaridade,estado_civil,numero_filhos,renda_mensal,valor_emprestimo,taxa_juros_nominal,valor_garantia,PIB_regiao,taxa_desemprego,inflacao_mensal,trimestre_solicitacao,dia_util,renda_idade,divida_renda,taxa_juros_efetiva,score_credito,inadimplente
39,Médio,Solteiro,3,4536.74,12727.11,9.22,19498.47,1550309.75,0.21,0.54,3,1,176.93286,2.5606212214486894,9.269788000000002,661,0
33,Pós,Solteiro,1,1954.27,7864.41,12.51,10245.43,4437757.32,0.34,0.34,1,1,64.49091,2.8554143217616086,12.552534000000001,553,1
41,Fundamental,Solteiro,0,1707.04,10609.08,8.64,7633.08,4824044.12,0.06,0.5,3,1,69.98863999999999,0.6978632713457088,8.6832,621,0
50,Superior,Casado,1,6674.79,18280.53,9.48,23675.81,3492370.11,0.2,0.53,2,1,333.73949999999996,1.9032264976806255,9.530244000000001,537,0
32,Fundamental,Solteiro,2,8893.51,12823.51,15.62,19209.77,2329759.94,0.45,0.55,1,1,284.59232000000003,0.34209840074361714,15.70591,567,0
32,Médio,Solteiro,0,7076.58,3751.23,11.7,35877.32,2233857.46,0.31,0.4,2,0,226.45056,0.5518761777600122,11.746799999999999,572,0
50,Pós,Divorciado,3,2316.04,15499.59,10.37,33594.78,1554598.05,0.37,0.68,2,1,115.802,3.316531228385984,10.440515999999999,573,0
42,Superior,Solteiro,0,6555.85,22850.3,9.46,28517.02,,0.35,0.62,3,1,275.3457,2.436131567086532,9.518652000000001,579,0
30,Médio,Solteiro,0,2713.18,7571.18,12.52,28308.7,4175427.95,0.28,0.61,1,1,81.3954,0.6684072957577121,12.596371999999999,458,1
40,Fundamental,Solteiro,1,6276.65,9400.64,13.45,14826.51,1892768.54,0.71,0.26,3,1,251.066,1.9129651389247149,13.484969999999999,362,1
30,Fundamental,Casado,1,9689.32,28439.86,6.58,27910.92,3674369.35,0.14,0.49,1,1,290.6796,0.3778860961441679,6.612241999999999,570,0
30,Pós,Divorciado,1,6127.12,17068.17,8.23,16229.1,3370371.74,0.4,0.61,4,1,183.81359999999998,3.2822263664491564,8.280203,553,0
37,Médio,Divorciado,4,11862.3,5097.03,14.55,29464.16,1564871.87,0.13,0.56,4,0,438.9051,1.0659575520117859,14.631480000000002,634,0
18,Médio,Casado,2,4491.79,27887.45,9.4,87353.66,1953006.58,0.31,0.64,4,1,80.85222,0.7066710156048582,9.46016,505,0
18,Pós,Casado,0,4315.68,13017.71,7.77,6621.61,1540898.17,0.47,0.54,3,0,77.68224000000001,2.8121858825829666,7.811958,707,0
29,Superior,Divorciado,0,5117.45,10344.91,13.36,31821.41,3156110.78,0.13,0.5,4,0,148.40605,0.9596480227403519,13.426799999999998,647,0
24,Médio,Solteiro,0,2196.05,19442.82,7.29,22841.27,1774696.57,0.6,0.44,4,1,52.705200000000005,1.4058251976504308,7.322076,631,0
38,Pós,Divorciado,0,3859.25,13751.51,11.55,16146.41,4934314.31,0.36,0.5,1,1,146.6515,2.922881587639371,11.60775,432,0
25,Médio,Casado,0,4068.05,6122.86,8.66,32032.64,2103884.88,0.27,0.45,4,0,101.70125000000002,3.110149565826374,8.69897,621,0
20,Pós,Solteiro,0,4144.76,13806.69,13.39,11718.18,3891435.07,0.1,0.53,3,1,82.89519999999999,0.5567924909707447,13.460967000000002,502,0
49,Fundamental,Divorciado,2,5773.16,4899.92,9.61,61522.93,2306224.98,0.49,0.45,3,1,282.88484,2.6676812337037656,9.653244999999998,548,0
32,Fundamental,Solteiro,0,2021.92,19451.75,7.42,37438.07,2430152.73,0.55,0.35,4,0,64.70144,1.8539458120044054,7.44597,595,0
35,nan,Solteiro,5,2471.63,8160.59,12.49,16692.51,2244715.57,0.19,0.41,1,1,86.50705,0.809641119899092,12.541209,444,0
20,Médio,Casado,0,9693.8,2467.96,10.54,8400.55,1433413.32,0.15,0.46,1,1,193.87599999999998,3.1825008562324686,10.588484,518,0
29,Fundamental,Divorciado,1,1473.88,6818.54,9.52,16112.15,4710199.48,0.41,0.43,1,1,42.74252,2.7261036643803576,9.560936,650,0
36,Superior,Casado,1,7114.02,16820.83,13.26,45049.59,4115452.45,0.25,0.65,4,1,256.10472,5.0191070126116655,13.34619,758,0
23,Pós,Divorciado,1,3927.92,6718.45,7.43,,1947947.19,0.06,0.46,4,1,90.34215999999999,2.547126718066277,7.4641779999999995,560,0
38,Superior,Divorciado,1,5410.37,10014.96,14.44,19562.78,2229865.48,0.59,0.3,1,1,205.59405999999998,0.7071713916099829,14.483319999999997,574,1
28,nan,Solteiro,1,12517.2,631.53,17.74,31439.78,2764436.96,0.25,0.56,3,1,350.4816,2.8966478727542877,17.839344,629,0
32,Superior,Solteiro,3,4542.76,6264.32,11.04,17934.38,4098543.5,0.21,0.29,4,0,145.36832,0.30745365245528145,11.072015999999998,328,0
28,Fundamental,Solteiro,1,7152.61,1757.87,8.56,19069.19,4505572.6,0.33,0.54,4,1,200.27308,1.401244883030168,8.606224000000001,597,0
53,Médio,Casado,0,5090.55,6699.38,12.73,14225.41,4071448.87,0.07,0.59,1,1,269.79915,2.3540938477282243,12.805107000000001,489,1
34,Superior,Solteiro,2,4602.59,15446.21,12.49,44327.2,4800242.13,0.25,0.37,4,0,156.48806000000002,1.339658985997236,12.536213,415,0
24,Fundamental,Casado,1,4273.1,7709.98,12.12,15459.63,4044610.67,0.05,0.47,2,1,102.55440000000002,0.8963224185441134,12.176963999999998,716,0
43,Pós,Solteiro,0,7484.84,5713.75,13.59,26845.06,1895810.39,0.42,0.59,1,0,321.84812,0.7986083233116062,13.670181,589,0
22,Médio,Casado,1,3168.58,1443.42,14.16,24027.98,2514200.13,0.43,0.64,4,1,69.70876,1.9258165218839085,14.250624,754,0
37,Pós,Divorciado,0,2491.86,3678.05,10.55,81584.34,3969812.08,0.28,0.55,2,1,92.19882,2.465654463267278,10.608025000000001,625,0
18,Superior,Casado,1,5139.37,3386.12,17.36,22385.21,1506243.51,0.12,0.57,2,1,92.50865999999999,0.4430287278617621,17.458952,539,0
