potencia_nominal,vazao_refrigerante,nivel_combustivel,temperatura,pressao,vibracao_x,vibracao_y,vibracao_z,fluxo_neutrons,temperatura_externa,umidade,pressao_atmosferica,ultima_manutencao,horas_operacao,falhas_passadas,pressao_temperatura,fluxo_neutrons_potencia,eficiencia_termica,falha
949.82,4702.43,85.3,372.72,12.82211564044352,0.003,0.617,0.566,1026.0,19.11,84.78,1011.61,65,5100.0,0,4.7790589415061095,974.5153200000001,-447.68984000000046,0
1180.29,4774.96,82.62,232.79,8.072411112902355,-0.172,0.33,-0.43,969.0,22.93,72.13,1015.67,361,4859.0,1,1.879176582972539,1143.70101,-362.0784100000002,0
1092.8,5077.76,85.89,341.68,10.388622195083071,-0.228,-0.605,-0.227,978.0,29.3,50.46,998.86,330,4958.0,0,3.5495844316159837,1068.7584,-96.29224000000005,0
1039.46,4765.23,85.24,373.33,10.292959366662963,0.442,-0.633,0.208,957.0,18.96,81.76,1005.24,128,5074.0,0,3.842670520356284,994.76322,-454.05888999999974,0
862.41,,92.75,206.64,16.799166865853785,0.042,-0.63,0.304,998.0,32.58,35.22,1010.17,149,4862.0,0,3.471379841160026,860.68518,-784.9189600000004,0
862.4,4985.78,99.09,309.45,8.888666754569313,-0.542,-0.093,-0.133,1034.0,31.29,34.56,999.77,320,5003.0,0,2.750597927201474,891.7216,84.69975000000002,0
823.23,5017.12,93.71,338.77,17.17092330275417,-0.302,0.1,0.111,997.0,26.35,63.29,1002.3,299,4934.0,2,5.816993687274029,820.76031,-59.521289999999844,0
1146.47,4944.33,98.53,316.1,22.250689083695715,0.377,0.208,-0.082,1019.0,10.22,73.88,1008.79,184,4905.0,1,7.033442819356215,1168.2529299999999,64.49899999999992,0
1040.45,5154.57,95.68,322.91,9.599801868482324,0.1,-0.507,0.396,1040.0,22.59,66.06,1018.62,9,5020.0,0,3.0998720213516275,1082.068,32.643189999999876,0
1083.23,5156.63,94.56,311.31,5.720099798707304,0.598,-0.089,-0.073,983.0,29.96,69.76,998.73,31,4953.0,2,1.780724268335571,1064.81509,74.27839,0
808.23,5067.01,88.28,250.29,15.131748390660123,0.423,-0.028,-0.111,989.0,23.17,45.64,1012.5,76,5069.0,1,3.7873253046983217,799.33947,-170.21841000000012,0
1187.96,5112.96,86.5,423.9,10.035696166234324,-0.195,0.598,0.496,1008.0,25.05,82.68,997.19,5,5164.0,0,4.25413160486673,1197.4636799999998,-1448.5209999999995,0
1132.98,4957.58,96.93,280.82,13.107116053428388,0.718,0.387,0.105,1024.0,35.14,88.3,1012.47,353,4952.0,0,3.68074033012376,1160.17152,48.59275999999997,0
884.94,5108.44,98.11,328.21,15.041751349314657,0.759,-0.718,0.334,1021.0,26.6,53.3,1027.09,136,4969.0,1,4.936853210358563,903.5237400000001,9.829590000000106,0
872.73,4932.42,89.04,274.66,10.856254764033586,-0.893,-0.942,1.249,980.0,26.17,54.53,1015.69,83,5061.0,0,2.981778933489465,855.2754,4.058440000000118,0
873.36,5000.45,80.18,200.0,24.122506705023053,0.016,-0.056,-0.993,972.0,23.11,57.23,1025.18,8,5028.0,2,4.824501341004611,848.90592,-913.17,0
921.7,4945.07,95.85,261.77,10.714070517080861,-0.275,-0.319,-0.514,983.0,32.87,42.01,1013.27,30,4908.0,0,2.8046222392562563,906.0311,-69.22329000000013,0
1009.9,4908.56,85.7,236.12,9.090366087626673,-0.13,-0.48,-0.464,1014.0,30.14,38.46,1016.65,83,4976.0,0,2.1464172406104103,1024.0386,-314.45543999999995,0
972.78,4862.18,80.2,363.58,22.089820897029263,-0.408,-0.378,-0.427,1014.0,22.62,76.62,1004.56,37,5052.0,0,8.031417081741898,986.39892,-314.45163999999977,0
916.49,5093.54,96.1,279.16,5.741920612627792,-0.471,0.29,0.712,1045.0,21.39,66.38,1020.0,122,5071.0,0,1.6029145582211746,957.7320500000001,38.0994400000001,0
1044.74,5262.12,90.35,284.3,5.46271333004132,0.451,-0.752,-1.334,975.0,20.92,39.02,1006.74,38,4969.0,1,1.5530493997307473,1018.6215,59.211000000000034,0
855.8,5234.22,93.7,257.28,24.848294686800088,-0.584,0.924,0.241,968.0,22.7,59.76,1000.79,220,4992.0,0,6.392969257019926,828.4143999999999,-102.24984000000023,0
916.86,4748.69,98.29,315.7,7.262500299075724,0.047,-0.359,-0.766,974.0,21.12,89.76,1012.54,37,4932.0,1,2.2927713444182065,893.02164,59.851000000000035,0
946.54,5257.84,90.82,275.68,6.01277892625721,-0.675,0.316,0.013,1041.0,25.61,61.6,997.94,295,5097.0,0,1.6576028943905878,985.3481400000001,19.553760000000032,0
982.43,4936.37,90.06,361.62,13.128898418530635,0.635,-0.335,0.13,981.0,29.25,84.73,1019.35,208,4958.0,0,4.747672246109048,963.76383,-296.9624400000001,0
1114.07,5120.15,85.81,327.6,3.2835419283857,0.015,-0.759,0.453,973.0,21.04,80.13,1032.33,230,4993.0,1,1.0756883357391553,1083.99011,7.5939999999998635,0
879.87,4818.76,86.1,284.41,14.755178348428704,0.373,-0.073,-0.133,1012.0,21.48,36.63,1010.16,358,4992.0,0,4.196520274076608,890.42844,59.505190000000084,0
1005.69,5028.4,95.93,356.01,11.64969930909169,0.098,-0.627,-0.087,1022.0,21.97,54.28,1010.62,98,5074.0,0,4.147409451029732,1027.81518,-227.67200999999994,0
1036.97,5062.74,88.98,314.4,15.170008434017502,,0.074,-1.025,978.0,26.65,63.58,1018.02,171,5096.0,0,4.769450651655102,1014.15666,69.34400000000007,0
818.58,,83.27,315.57,8.668741158782508,0.034,-0.013,1.14,989.0,19.95,68.96,1018.95,254,5085.0,0,2.735594647476996,809.57562,65.75751000000002,0
1043.02,5121.65,81.89,241.87,23.037878123223614,0.754,-0.347,0.153,999.0,17.57,47.49,1014.3,170,4918.0,1,5.572171581664095,1041.97698,-247.98968999999997,0
868.21,5269.19,89.46,311.95,8.42549557102362,-0.449,0.076,0.219,996.0,23.78,30.46,996.78,291,5095.0,0,2.628333343380818,864.73716,68.52975000000004,0
826.02,4965.07,89.3,332.08,15.111405767981847,-1.275,0.519,0.537,987.0,25.38,48.58,1025.06,20,4931.0,0,5.018195627431411,815.28174,-14.312639999999902,0
1179.55,5272.03,93.07,383.18,25.55329798218859,-0.393,-0.055,-0.034,979.0,24.33,63.99,1023.76,141,4902.0,0,9.791512720815023,1154.77945,-610.9812400000002,0
1186.25,4962.06,89.42,279.41,10.734964058192672,-0.605,-0.364,0.212,1003.0,24.45,51.03,1000.79,283,5026.0,2,2.9994563074996146,1189.80875,45.1451900000001,0
1123.36,5169.92,82.87,431.41,6.293801929144236,0.484,0.2,0.358,993.0,29.18,52.84,985.01,273,5024.0,0,2.715209090252115,1115.49648,-1642.4188100000008,0
